City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,nabire,-3.3667,135.4833,25.67,90,{'all': 98},1.43,ID,1681728389
299,poum,-20.2333,164.0167,26.24,84,{'all': 98},10.59,NC,1681728389
300,vostok,46.4856,135.8833,-0.37,62,{'all': 10},0.9,RU,1681728390
301,chenghai,23.4632,116.768,27.95,65,{'all': 0},4.0,CN,1681728391
302,westport,41.1415,-73.3579,13.75,93,{'all': 100},7.2,US,1681728391
303,hermanus,-34.4187,19.2345,19.71,59,{'all': 2},0.85,ZA,1681728273
304,wajir,1.7471,40.0573,31.94,45,{'all': 92},4.01,KE,1681728392
305,luderitz,-26.6481,15.1594,24.27,44,{'all': 12},3.32,NA,1681728393
306,santana do matos,-5.9575,-36.6556,26.88,76,{'all': 98},2.61,BR,1681728393
307,compostela,7.6731,126.0889,24.83,94,{'all': 34},0.79,PH,1681728394
308,rapid valley,44.0625,-103.1463,3.13,60,{'all': 0},2.57,US,1681728395
309,atagay,55.1033,99.3875,2.52,46,{'all': 100},5.35,RU,1681728395
310,pisco,-13.7,-76.2167,21.12,83,{'all': 20},1.03,PE,1681728395
311,constitucion,-35.3333,-72.4167,7.99,78,{'all': 1},3.76,CL,1681728396
312,samarai,-10.6167,150.6667,27.31,72,{'all': 100},1.98,PG,1681728397
313,phillipsburg,40.6937,-75.1902,14.36,89,{'all': 100},1.34,US,1681728397
314,coquimbo,-29.9533,-71.3436,11.85,82,{'all': 0},2.06,CL,1681728170
315,balaipungut,1.05,101.2833,27.2,81,{'all': 67},1.41,ID,1681728398
316,arlit,18.7369,7.3853,37.68,6,{'all': 0},4.05,NE,1681728398
317,marystown,47.1666,-55.1483,3.25,100,{'all': 100},2.12,CA,1681728399
318,itarema,-2.9248,-39.9167,25.21,89,{'all': 100},2.97,BR,1681728399
319,caninde,-4.3589,-39.3117,24.4,92,{'all': 100},1.86,BR,1681728400
320,colchester,51.8892,0.9042,15.42,76,{'all': 21},4.42,GB,1681728400
